name,city,country,status,area,motorbike_minutes_to_poblado,motorbike_minutes_to_laureles,temp_min_c,temp_max_c,rent_usd,safety,noise,walkability,vibe,verdict,notes,lat,lon,radius_m
Zona Industrial,La Estrella,Colombia,institutional,La Estrella,25.3,29.2,14.8,27.8,,,,,,,,,,
Aliadas del Sur,Sabaneta,Colombia,,Sabaneta,21.3,27.3,15.0,28.0,,,,,,,,,,
Ancon Sur (Sabaneta),Sabaneta,Colombia,,Sabaneta,25.5,29.9,14.8,27.8,,,,,,,,,,
Betania (Sabaneta),Sabaneta,Colombia,,Sabaneta,23.1,29.2,14.8,27.8,,,,,,,,,,
Calle Larga,Sabaneta,Colombia,,Sabaneta,23.9,29.1,14.9,27.9,,,,,,,,,,
Calle del Banco,Sabaneta,Colombia,,Sabaneta,22.1,27.7,15.0,28.0,,,,,,,,,,
Caminos de la Romera,Sabaneta,Colombia,,Sabaneta,23.1,29.8,14.4,27.4,,,,,,,,,,
El Carmelo II,Sabaneta,Colombia,,Sabaneta,23.0,27.9,14.9,27.9,,,,,,,,,,
Entreamigos,Sabaneta,Colombia,,Sabaneta,22.8,28.3,14.9,27.9,,,,,,,,,,
Holanda,Sabaneta,Colombia,,Sabaneta,23.4,28.9,14.9,27.9,,,,,,,,,,
La Barquereña,Sabaneta,Colombia,,Sabaneta,22.3,28.7,14.7,27.7,,,,,,,,,,
La Florida,Sabaneta,Colombia,,Sabaneta,20.7,27.6,14.9,27.9,,,,,,,,,,
Lagos de la Doctora,Sabaneta,Colombia,,Sabaneta,24.7,30.7,14.7,27.7,,,,,,,,,,
Las Casitas (Sabaneta),Sabaneta,Colombia,,Sabaneta,18.4,25.3,15.0,28.0,,,,,,,,,,
Los Alcazares (Sabaneta),Sabaneta,Colombia,,Sabaneta,21.7,28.4,14.8,27.8,,,,,,,,,,
Los Arias,Sabaneta,Colombia,,Sabaneta,19.4,26.4,14.9,27.9,,,,,,,,,,
Manuel Restrepo,Sabaneta,Colombia,,Sabaneta,20.3,26.7,15.0,28.0,,,,,,,,,,
Maria Auxiliadora,Sabaneta,Colombia,,Sabaneta,19.9,27.0,14.9,27.9,,,,,,,,,,
Nuestra Señora de los Dolores,Sabaneta,Colombia,,Sabaneta,24.7,29.7,14.9,27.9,,,,,,,,,,
Paso Ancho,Sabaneta,Colombia,,Sabaneta,21.6,27.8,15.0,28.0,,,,,,,,,,
Playas de Maria,Sabaneta,Colombia,,Sabaneta,21.4,27.0,15.0,28.0,,,,,,,,,,
Prados de Sabaneta,Sabaneta,Colombia,,Sabaneta,25.0,30.2,14.8,27.8,,,,,,,,,,
Promision,Sabaneta,Colombia,,Sabaneta,20.3,26.2,15.1,28.1,,,,,,,,,,
Restrepo Naranjo,Sabaneta,Colombia,,Sabaneta,20.9,27.2,15.0,28.0,,,,,,,,,,
Sabaneta Real,Sabaneta,Colombia,,Sabaneta,24.2,29.7,14.9,27.9,,,,,,,,,,
San Joaquin (Sabaneta),Sabaneta,Colombia,,Sabaneta,22.5,28.5,14.9,27.9,,,,,,,,,,
San Rafael (Sabaneta),Sabaneta,Colombia,,Sabaneta,18.9,25.2,15.1,28.1,,,,,,,,,,
Santa Ana (Sabaneta),Sabaneta,Colombia,,Sabaneta,22.0,27.9,15.0,28.0,,,,,,,,,,
Tres Esquinas,Sabaneta,Colombia,,Sabaneta,25.8,31.3,14.6,27.6,,,,,,,,,,
Vegas de San Jose,Sabaneta,Colombia,,Sabaneta,25.3,31.1,14.7,27.7,,,,,,,,,,
Vegas de la Doctora,Sabaneta,Colombia,,Sabaneta,24.2,30.5,14.7,27.7,,,,,,,,,,
Villas del Carmen,Sabaneta,Colombia,,Sabaneta,19.9,26.7,14.9,27.9,,,,,,,,,,
Virgen del Carmen,Sabaneta,Colombia,,Sabaneta,19.4,26.0,15.0,28.0,,,,,,,,,,
